lesionTipo,fecha,lesionRango,granja,edadEnDias,ciclo,noGalpon,planVacuna,influenzaVacuna,newcastleVacuna,gumboroVacuna,lesionPromedio,nAnimal,sexoAnimales,bursometro,condicionHigado,integridadIntestinal
IntestinosAdelgazados,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
E.acervulina,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
E.maxima,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
E.tenella,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
ExcesoMocoIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
ExcesoFluidoIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
DescamacionIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
Tenias,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
EnteritisNecrotica,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
PasajeAlimento,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,1,M,4,T,9
GasCecal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
HiperemiaIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
QuemaduraAmoniaco,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
Aspergilosis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
Ascitis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
Ascaridios/GusanosRedondos,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
HemorragiasPetequiales,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,1,M,4,T,9
PiernasPalidas,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Rasguños,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,2,H,5,-,9
LesionCojinetePlantar,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,2,H,5,-,9
LesionCavidadOral,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
RetencionSacoVitelino,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
AtrofiaTimo,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
DañoBolsa,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
NecrosisCabezaFemur,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
DiscondroplasiaTibial,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Traqueitis,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Aerosaculitis,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Cardiovascular,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
ErosionMolleja,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
ComedorCama,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Proventriculitis,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
IntestinosEngrosados,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
IntestinosAdelgazados,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
E.acervulina,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
E.maxima,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
E.tenella,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
ExcesoMocoIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
ExcesoFluidoIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
DescamacionIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Tenias,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
EnteritisNecrotica,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
PasajeAlimento,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,2,H,5,-,9
GasCecal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
HiperemiaIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
QuemaduraAmoniaco,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Aspergilosis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Ascitis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
Ascaridios/GusanosRedondos,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
HemorragiasPetequiales,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,2,H,5,-,9
PiernasPalidas,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
Rasguños,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,3,H,5,TX,9
LesionCojinetePlantar,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,3,H,5,TX,9
LesionCavidadOral,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
RetencionSacoVitelino,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
AtrofiaTimo,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
DañoBolsa,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,3,H,5,TX,9
NecrosisCabezaFemur,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
DiscondroplasiaTibial,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
Traqueitis,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
Aerosaculitis,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,3,H,5,TX,9
Cardiovascular,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
ErosionMolleja,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
ComedorCama,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
Proventriculitis,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
IntestinosEngrosados,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
IntestinosAdelgazados,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
E.acervulina,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
E.maxima,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
E.tenella,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
ExcesoMocoIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
ExcesoFluidoIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
DescamacionIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
Tenias,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
EnteritisNecrotica,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
PasajeAlimento,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,3,H,5,TX,9
GasCecal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
HiperemiaIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
QuemaduraAmoniaco,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
Aspergilosis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
Ascitis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
Ascaridios/GusanosRedondos,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
HemorragiasPetequiales,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,3,H,5,TX,9
PiernasPalidas,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
Rasguños,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,4,M ,4,TX,9
LesionCojinetePlantar,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
LesionCavidadOral,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
RetencionSacoVitelino,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
AtrofiaTimo,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
DañoBolsa,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
NecrosisCabezaFemur,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
DiscondroplasiaTibial,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
Traqueitis,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
Aerosaculitis,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,2,4,M ,4,TX,9
Cardiovascular,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
ErosionMolleja,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
ComedorCama,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
Proventriculitis,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
IntestinosEngrosados,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
IntestinosAdelgazados,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
E.acervulina,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
E.maxima,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
E.tenella,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
ExcesoMocoIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
ExcesoFluidoIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
DescamacionIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
Tenias,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
EnteritisNecrotica,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
PasajeAlimento,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
GasCecal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,4,M ,4,TX,9
HiperemiaIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
QuemaduraAmoniaco,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
Aspergilosis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
Ascitis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
Ascaridios/GusanosRedondos,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
HemorragiasPetequiales,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,4,M ,4,TX,9
PiernasPalidas,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Rasguños,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,5,M,5,-,10
LesionCojinetePlantar,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
LesionCavidadOral,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
RetencionSacoVitelino,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,1,5,M,5,-,10
AtrofiaTimo,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
DañoBolsa,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
NecrosisCabezaFemur,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
DiscondroplasiaTibial,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Traqueitis,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Aerosaculitis,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Cardiovascular,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
ErosionMolleja,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
ComedorCama,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Proventriculitis,26-02-2020 00:00:00,0-3,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
IntestinosEngrosados,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
IntestinosAdelgazados,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
E.acervulina,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
E.maxima,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
E.tenella,26-02-2020 00:00:00,0-4,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
ExcesoMocoIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
ExcesoFluidoIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
DescamacionIntestinal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Tenias,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
EnteritisNecrotica,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
PasajeAlimento,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
GasCecal,26-02-2020 00:00:00,0-2,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
HiperemiaIntestinal,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
QuemaduraAmoniaco,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Aspergilosis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Ascitis,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
Ascaridios/GusanosRedondos,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
HemorragiasPetequiales,26-02-2020 00:00:00,0-1,San Felipe,29,36,4,P3T1,Trovac,Merial,Avipro,0,5,M,5,-,10
PiernasPalidas,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Rasguños,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
LesionCojinetePlantar,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
LesionCavidadOral,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,1,1,M,5,-,9
RetencionSacoVitelino,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
AtrofiaTimo,26-02-2020 00:00:00,0-2,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
DañoBolsa,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
NecrosisCabezaFemur,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
DiscondroplasiaTibial,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Traqueitis,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Aerosaculitis,26-02-2020 00:00:00,0-4,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Cardiovascular,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
ErosionMolleja,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
ComedorCama,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Proventriculitis,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
IntestinosEngrosados,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
IntestinosAdelgazados,26-02-2020 00:00:00,0-2,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
E.acervulina,26-02-2020 00:00:00,0-4,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,1,1,M,5,-,9
E.maxima,26-02-2020 00:00:00,0-4,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
E.tenella,26-02-2020 00:00:00,0-4,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
ExcesoMocoIntestinal,26-02-2020 00:00:00,0-2,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
ExcesoFluidoIntestinal,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
DescamacionIntestinal,26-02-2020 00:00:00,0-2,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Tenias,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
EnteritisNecrotica,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
PasajeAlimento,26-02-2020 00:00:00,0-2,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,1,1,M,5,-,9
GasCecal,26-02-2020 00:00:00,0-2,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
HiperemiaIntestinal,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
QuemaduraAmoniaco,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Aspergilosis,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Ascitis,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
Ascaridios/GusanosRedondos,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
HemorragiasPetequiales,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,1,M,5,-,9
PiernasPalidas,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
Rasguños,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
LesionCojinetePlantar,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,1,2,M,4,-,9
LesionCavidadOral,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
RetencionSacoVitelino,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
AtrofiaTimo,26-02-2020 00:00:00,0-2,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
DañoBolsa,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
NecrosisCabezaFemur,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
DiscondroplasiaTibial,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
Traqueitis,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
Aerosaculitis,26-02-2020 00:00:00,0-4,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,1,2,M,4,-,9
Cardiovascular,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
ErosionMolleja,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,1,2,M,4,-,9
ComedorCama,26-02-2020 00:00:00,0-1,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
Proventriculitis,26-02-2020 00:00:00,0-3,San Felipe,35,36,1,P3T1,Trovac,Merial,Avipro,0,2,M,4,-,9
